Date,Team_A,Team_B,Score_A,Score_B,Tournament,Location_A,Is_Playoff,Is_GoD
2023-03-27,Moldova,Czech Republic,0,0,QUAL_EURO,Home,0,0
2023-03-27,Austria,Estonia,2,1,QUAL_EURO,Home,0,0
2023-03-27,Sweden,Azerbaijan,5,0,QUAL_EURO,Home,0,0
2023-03-27,Hungary,Bulgaria,3,0,QUAL_EURO,Home,0,0
2023-03-27,Montenegro,Serbia,0,2,QUAL_EURO,Home,0,0
2023-03-28,Scotland,Spain,2,0,QUAL_EURO,Home,0,0
2023-03-28,Georgia,Norway,1,1,QUAL_EURO,Home,0,0
2023-03-28,Wales,Latvia,1,0,QUAL_EURO,Home,0,0
2023-03-28,Turkey,Croatia,0,2,QUAL_EURO,Home,0,0
2023-03-28,Kosovo,Andorra,1,1,QUAL_EURO,Home,0,0
2023-03-28,Switzerland,Israel,3,0,QUAL_EURO,Home,0,0
2023-03-28,Romania,Belarus,2,1,QUAL_EURO,Home,0,0
2023-06-14,Netherlands,Croatia,2,4,NL_B,Home,0,0
2023-06-15,Spain,Italy,2,1,NL_B,Neutral,0,0
2023-06-16,Gibraltar,France,0,3,QUAL_EURO,Neutral,0,0
2023-06-16,Greece,Republic of Ireland,2,1,QUAL_EURO,Home,0,0
2023-06-16,Malta,England,0,4,QUAL_EURO,Home,0,0
2023-06-16,North Macedonia,Ukraine,2,3,QUAL_EURO,Home,0,0
2023-06-16,Wales,Armenia,2,4,QUAL_EURO,Home,0,0
2023-06-16,Latvia,Turkey,2,3,QUAL_EURO,Home,0,0
2023-06-16,Finland,Slovenia,2,0,QUAL_EURO,Home,0,0
2023-06-16,Denmark,Northern Ireland,1,0,QUAL_EURO,Home,0,0
2023-06-16,San Marino,Kazakhstan,0,3,QUAL_EURO,Neutral,0,0
2023-06-16,Andorra,Switzerland,1,2,QUAL_EURO,Home,0,0
2023-06-16,Belarus,Israel,1,2,QUAL_EURO,Neutral,0,0
2023-06-16,Kosovo,Romania,0,0,QUAL_EURO,Home,0,0
2023-06-17,Norway,Scotland,1,2,QUAL_EURO,Home,0,0
2023-06-17,Cyprus,Georgia,1,2,QUAL_EURO,Home,0,0
2023-06-17,Faroe Islands,Czech Republic,0,3,QUAL_EURO,Home,0,0
2023-06-17,Albania,Moldova,2,0,QUAL_EURO,Home,0,0
2023-06-17,Azerbaijan,Estonia,1,1,QUAL_EURO,Home,0,0
2023-06-17,Belgium,Austria,1,1,QUAL_EURO,Home,0,0
2023-06-17,Lithuania,Bulgaria,1,1,QUAL_EURO,Home,0,0
2023-06-17,Montenegro,Hungary,0,0,QUAL_EURO,Home,0,0
2023-06-17,Luxembourg,Liechtenstein,2,0,QUAL_EURO,Home,0,0
2023-06-17,Iceland,Slovakia,1,2,QUAL_EURO,Home,0,0
2023-06-17,Portugal,Bosnia and Herzegovina,3,0,QUAL_EURO,Home,0,0
2023-06-18,Netherlands,Italy,2,3,NL_B,Home,0,0
2023-06-18,Croatia,Spain,0,0,NL_B,Neutral,0,0
2023-06-19,Republic of Ireland,Gibraltar,3,0,QUAL_EURO,Home,0,0
2023-06-19,France,Greece,1,0,QUAL_EURO,Home,0,0
2023-06-19,Ukraine,Malta,1,0,QUAL_EURO,Neutral,0,0
2023-06-19,England,North Macedonia,7,0,QUAL_EURO,Home,0,0
2023-06-19,Armenia,Latvia,2,1,QUAL_EURO,Home,0,0
2023-06-19,Turkey,Wales,2,0,QUAL_EURO,Home,0,0
2023-06-19,Finland,San Marino,6,0,QUAL_EURO,Home,0,0
2023-06-19,Northern Ireland,Kazakhstan,0,1,QUAL_EURO,Home,0,0
2023-06-19,Slovenia,Denmark,1,1,QUAL_EURO,Home,0,0
2023-06-19,Belarus,Kosovo,2,1,QUAL_EURO,Neutral,0,0
2023-06-19,Switzerland,Romania,2,2,QUAL_EURO,Home,0,0
2023-06-19,Israel,Andorra,2,1,QUAL_EURO,Home,0,0
2023-06-20,Scotland,Georgia,2,0,QUAL_EURO,Home,0,0
2023-06-20,Norway,Cyprus,3,1,QUAL_EURO,Home,0,0
2023-06-20,Faroe Islands,Albania,1,3,QUAL_EURO,Home,0,0
2023-06-20,Moldova,Poland,3,2,QUAL_EURO,Home,0,0
2023-06-20,Austria,Sweden,2,0,QUAL_EURO,Home,0,0
2023-06-20,Estonia,Belgium,0,3,QUAL_EURO,Home,0,0
2023-06-20,Hungary,Lithuania,2,0,QUAL_EURO,Home,0,0
2023-06-20,Bulgaria,Serbia,1,1,QUAL_EURO,Home,0,0
2023-06-20,Iceland,Portugal,0,1,QUAL_EURO,Home,0,0
